"","doc_id","participant","economy_type","reconstructed_chars"
"1",1854,"Plastic Omnium","Advanced","plastic let shape future mobility universal registration document nee integrate report annual financial report corporate governance report statement non financial performance integrate report statutory account presentation plastic statutory account business income statement key figure balance sheet history development group note statutory account organization chart year financial summary significant event subsidiary affiliate business statutory auditor report objective strategy financial stateme"
"2",1926,"Rexel Group","Advanced","rent fee share capital register office world version universal registration document file capacity competent authority application provision regulation prior approval accordance article regulation version universal registration document purpose public offering security trade market supplement security note applicable summary supplement entire package approve accordance regulation document free translation original document prepare matter interpretation view opinion express original language docu"
"3",1920,"Renault SAS","Advanced","new version registration document include annual financial report message chairman chief executive officer governance group business key figure brand group statutory auditor report consolidated financial statement consolidated financial statement statutory auditor report overview group annual financial statement alliance earning report research development internal control risk management risk factor regulatory environment general information post balance sheet event general information relate s"
"4",2274,"Tokyo Century Corporation","Advanced","century report commitment run corporate assist customer partner company develop business pursue growth century corporation integrate report content way century group history business strategy business model equipment current status value strength mobility fleet management strength opportunity risk new fourth medium term management plan create diverse business match financing business strategy specific initiative current trend management environment free regulatory international business pursue b"
"5",1957,"SCSK Corporation","Advanced","report wee cap future group continue grow lead company service year high strategic partner implement promote career profit high revenue client work style reform development woman rate consume annual number female executive line manager net sale pay day increase year operate profit percentage consolidated net average monthly sale account overtime hour group client base company hour minute net sale post high profit high revenue build relationship goal believe improve employee mental physical promo"
"6",1074,"HORIBA, Ltd.","Advanced","draw energy enter post era founder realize limitation carry research cover story university establish laboratory pursue research find president year president start study medical science hope bring company new field study allow understand human body explain realization change value see human capability explain power science want draw capability realize get result creative idea pursue work mission construct company give employee opportunity work pioneer glass meter manufacture principle ear corpo"
"7",1917,"Refinitiv","Advanced","see data beginning document report set read screen print help carbon footprint low possible small step lead big change use right working partner supplier customer partnership action charity performance datum disclosure performance datum global compact principle impact sustainable development goal tcfd report datum target sustainability issue impact community responsible business resource ability business continue evolve ethic datum privacy datum standard range cover area assessment management cl"
"8",564,"Charter Hall Group","Advanced","ice soft foe ore ree ceo message governance create value highlight performance datum principle ungc approach index statement social report annual sustainability report state environmental datum cover business activity charter report pertain asset activity group manage property fund asset operational control financial year end include datum outside entity supplier contractor material case information provide event take place close prepare report guide financial year global reporting standard core"
"9",740,"Dexus","Advanced","sustainability report comprehensive sustainability reporting support result outline annual report sustainability report contain sustainability performance pack sustainability datum sustainability approach procedure describe toe tee implementation sustainability approach year annual reporting present annual reporting year end available investor centre annual reporting hard copy email request call annual financial sustainability annual result corporate report statement report presentation statemen"
"10",819,"Eli Lilly and Company","Advanced","ungc communication progress page report page message ceo page response covid page responsibility highlight page human right ungc principle address business support respect protection proclaim human right sure complicit human right abuse page ungc principle address business uphold freedom association effective recognition right collective bargaining elimination form forced compulsory labor effective abolition child labor elimination discrimination respect employment occupation page health safety "
"11",2352,"Veritas Technologies LLC","Advanced","dollar match program increase compare number kind software donation world hour volunteer employee increase compare number support area give empower organize event support second employee include sort package food low era income individual senior family child need run workshop office workshop position unique talent strong presence community employee live work real positive change workshop support local organization address critical organizational challenge area difficult access provide opportunit"
"12",862,"Eurasian Resources Group","Advanced","industry development global producer address issue responsible sourcing raw material circular economy energy innovation battery found member global battery alliance leader certify product address human right risk global battery sector organization look collaborative solution supply chain issue support world economic forum global battery alliance public private multi stakeholder collaboration global battery develop inclusive innovative world sustainable battery value chain power fourth industrial"
"13",325,"Ascom Holding AG","Advanced","annual report global solution provider mobile work flow solution vision close digital information gap allow good possible decision mission provide mission critical real time solution mobile time sensitive ment use unique product solution software capability integration solution improve healthcare industry retail sector share average annual share price dividend yield proposal annual general meeting share information share price market value share price performance order revenue net segment wee pe"
"14",1082,"Halcyon Agri Corporation Limited","Advanced","innovate sustain book content corporate governance report financial statement corporate structure information corporate structure corporate information audit financial statement corporate governance report corporate governance report strategy member strategy development strategic year direction elect major investment plan asset management total member executive director non executive director chief corporate officer elect year independent director hour glass limit aggregate innovate sustain corp"
"15",736,"Deutsche Boerse AG","Advanced","arise gear see executive supervisory board statement note letter consolidated income statement executive board consolidate statement comprehensive supervisory board income report supervisory board consolidated balance sheet consolidate cash flow statement consolidated statement change equity basis preparation consolidated income statement disclosure balance sheet disclosure fundamental information group responsibility statement executive report economic position board report post balance sheet d"
"16",1705,"OSF Global Ukraine LLC","Developing","description action relevant policy relate human right assessment policy goal description relevance human right company human right risk assessment description policy public commitment company goal human right company respect declaration human right internal regulation document name code conduct available employee respect exception supplier customer selection account adherence partner global compact principle business collaboration organization respect human right company respect human right empl"
"17",2084,"SkanTech ApS","Advanced","cop human right principle assessment policy goal description relevance specific human right issue company base assessment human right risk description policy public commitment company goal human right goal influence employee business partner respect declaration human right environmental protection base commitment set code conduct recent future supplier implementation description concrete action implement human right policy address human right risk respond human right relate concern take followin"
"18",2085,"SkanTech ApS","Advanced","cop human right principle assessment policy goal description relevance specific human right issue company base assessment human right risk description policy public commitment company goal human right goal influence employee business partner respect declaration human right environmental protection base commitment set code conduct recent future supplier implementation description concrete action implement human right policy address human right risk respond human right relate concern take followin"
"19",1352,"Krusell (Thailand) Co., Ltd","Developing","financial statement year end independent auditor report shareholder board director opinion audit financial statement company comprise statement financial position statement income statement change shareholder equity year end note financial statement include summary significant accounting policy opinion financial statement present material respect financial position financial performance year end accordance financial reporting standard non accountable entity basis opinion conduct audit accordance"
"20",2380,"Welltec A/S","Advanced","annual report approve annual shareholder meet company profile management consolidate key figure ratio financial review outlook risk corporate social responsibility company detail statement management annual report independent auditor report financial statement parent company consolidate group financial statement branch definition annual report company profile global service provider develop deliver technology service intend transform oil gas industry game change solution dedicate optimize constr"
"21",2342,"Valmet Oyj","Advanced","report board director financial indicator see calculation indicator consolidated financial statement consolidated statement income consolidated statement comprehensive income consolidated statement financial position consolidated statement cash flow consolidate statement change equity note consolidated financial statement parent company financial statement parent company statement income parent company statement financial position parent company statement cash flow note parent company financial "
"22",1197,"Ingleby Farms & Forests ApS","Advanced","sit core eye building trust content see ete soil ree aoe sit aoe toe animal community farm executive review year celebrate year anniversary sustainability report farm evidence base approach comprehensive measurement indicator sustainability reporting help well farmer tee aie content farm safety severe weather event safety team member principle agriculture help high priority team continue focus mitigate impact safety result significant reduction weather lose time injury frequency rate nature avoi"
"23",2101,"Son of a Tailor ApS","Advanced","ape air pee ete meet covid fee face production team safe request customer offer art sale total produce face tree tee equivalent save son global compact report make custom fit order material high quality reduce emission comparison conventional production approach result white paper conduct compare carbon footprint son tailor buy traditional retail commerce analysis show supply chain emission son tailor low traditional commerce low retail order approach eliminate inventory mean take place product "
"24",1907,"Raisio Plc","Advanced","set corporate responsibility report healthy responsible content president carbon energy efficiency material good food plan international company healthy produce good food plan food feed product focus health good year achievement sustainable food chain sustainable development profitable growth ensure strong plan product responsible raw material expertise drive innovation share list certification ensure responsibility company shareholder group net sale friendly packaging feed promote total compara"
"25",1668,"Nomura Real Estate Holdings, Inc.","Advanced","real estate print new value real value group real estate holding ree select leader index real estate print message chairman executive vice president director group aim sustainable growth promotion stipulate value creation initiative new mid long term business plan announce initiative indicate group direction continue provide value society customer leverage unique strength look lifestyle work style value diversify major change structure society population decline low age population labor shortage"
"26",1554,"Mitsubishi Electric Corporation","Advanced","green tomorrow change well content environment social content report corporate governance global operation corporate datum financial result risk management business segment approach information security research development intellectual create contribute address initiative relate value chain social customer human labor practice supply chain management communication stakeholder activity report provide information corporate social responsibility reference csr initiative group help realize sustaina"
"27",1557,"Mitsubishi Logistics Corporation","Advanced","eat environmental social report year fiscal accountability effect business activity society environment disclose goal detail promotion activity perspective group principle business management report describe management philosophy code conduct easy understand manner promotion csr promotion csr employee emphasis communication core subject describe major csr activity guidance social responsibility iso guidance global standard organizational governance establish industrial standard corporate governa"
"28",444,"Bin Sowaid Trading & Import Est.","Developing","general commitment global compact commitment global compact pleased confirm trading import support principle global compact human right labour environment anti corruption communication express implement principle committed make global compact principle strategy culture day operation company join global compact clear direction drive business stage time contribute society event transformation future bring trading import corporate social responsibility recognize key requirement participation global"
"29",2427,"ZenSar Technologies","Developing","technology general pleased confirm support principle global compact human right labour environment anti corruption communication express implement principle committed make global compact principle strategy culture day operation company engage collaborative project advance broad development goal addition like declare intention commitment focus gender equality woman empowerment principle line sustainable development goal principle global compact clear statement commitment stakeholder public change"
"30",2176,"T1 Solution, s.r.o.","Advanced","pal solution date general pleased confirm solution support principle global compact human right labour environment anti corruption communication express implement principle committed make global compact principle strategy culture day operation company engage collaborative project advance broad development goal sustainable development goal solution clear statement commitment stakeholder general public recognize key requirement participation global compact annual communication progress cop describ"
"31",576,"China National Offshore Oil Corp. (CN...","Developing","quality energy blue sea sustainability report gas mix corporate management research office address building implement new strengthen fundamental look demand high quality energy brand energy security strategy effort research strive break key development oil technical problem field gas accelerate construction system industrial chain project home rank natural gas production supply reserve technology major deep global oil gas brand value list management corporate governance operation company overvie"
"32",573,"China Datang Corporation","Developing","social responsibility report provide clean energy light well life operation world large wind farm invest operate entity region instal capacity clean electricity year pee die eat pea aie pen lie pee fee bee increase international exchange pursue green share fruit development save energy grow employee cut pollution emission develop partner protect biodiversity climate message chairman year mark anniversary people role strategic management regulation streamline functional condition local resident o"
"33",1677,"Noritake Lanka Porcelain (Pvt) Limited","Developing","save generation restoration site change trend temperature rise decrease economic ecological impact large main cause climate change attribute greenhouse effect change land cover solar human activity development mechanism instrument intend reduce greenhouse gas emission assist develop country achieve sustainable development multiple goal poverty reduction environmental benefit cost effective emission reduction allow small percentage emission reduction credit come goal launch forest climate change "
"34",163,"AB Storstockholms Lokaltrafik","Advanced","report group english translation sustainability report event version report apply delivery address telephone register office public transport visit public transport report group sustainability effort constitute statutory sustainability report group report concern group report comprise mobility service people unable travel public transport people mobility allowance travel free charge transport service mobility medical journey day mobility service comprise cent equivalent emit vehicle public trans"
"35",2389,"White arkitekter AB","Advanced","annual sustainability report earn man white found vision improve society beginning company culture social responsibility approach white grow guide principle beginning responsible act large practice respect participation company own employee business activity follow consist staff office principle global compact agenda sustainable involve project development goal form basis different country head assignment office remain original address believe ness learn important attribute employee own company "
"36",2319,"Udviklingsselskabet By & Havn I/S","Advanced","lie site ask see pee eat pea pie bet son pie seal team non ere nee lay tie company ambition develop new run port address ambition involve create high quality healthy sustainable new room good life activity finance public country infrastructure make easy sustainable contact info date support global compact membership global number employee real estate investment service goal effort distribution cop green mobility urban green blue space efficiency community employee health safety labour market ant"
